Full Date,Weighted Drought Score,Dow_Date,Dow_Open,Dow_High,Dow_Low,Dow_Close,Dow_Avg Vol,Dow_Adj Close*,Unemployment,pew-congress-poll-date,pew-congress-approve,pew-congress-disapprove
11/1/01,50.773,1-Nov-01,"9,087.45","9,992.79","9,014.46","9,851.56","235,384,700","9,851.56",5.5,,,
12/1/01,61.4285,3-Dec-01,"9,848.93","10,184.45","9,703.90","10,021.57","222,480,500","10,021.57",5.7,,,
1/1/02,76.8504,2-Jan-02,"10,021.71","10,300.15","9,529.46","9,920.00","248,939,500","9,920.00",5.7,,,
2/1/02,71.907,1-Feb-02,"9,923.04","10,255.24","9,580.32","10,106.13","259,025,200","10,106.13",5.7,,,
3/1/02,67.4135,1-Mar-02,"10,111.04","10,673.10","10,111.04","10,403.94","238,461,500","10,403.94",5.7,,,
4/1/02,59.2408,1-Apr-02,"10,402.07","10,402.07","9,811.57","9,946.22","244,686,800","9,946.22",5.9,,,
5/1/02,56.057,1-May-02,"9,944.90","10,353.43","9,802.23","9,925.25","228,295,900","9,925.25",5.8,,,
6/1/02,47.6585,3-Jun-02,"9,923.94","9,986.49","8,926.57","9,243.26","305,765,500","9,243.26",5.8,,,
7/1/02,43.0588,1-Jul-02,"9,239.25","9,410.38","7,532.66","8,736.59","365,575,000","8,736.59",5.8,,,
8/1/02,41.701,1-Aug-02,"8,732.58","9,077.01","8,030.82","8,663.50","262,202,200","8,663.50",5.7,,,
9/1/02,41.944,3-Sep-02,"8,659.27","8,726.90","7,460.78","7,591.93","298,762,500","7,591.93",5.7,,,
10/1/02,38.898,1-Oct-02,"7,593.04","8,558.63","7,197.49","8,397.03","338,705,600","8,397.03",5.7,,,
11/1/02,45.0505,1-Nov-02,"8,395.64","8,950.33","8,298.68","8,896.09","276,003,500","8,896.09",5.9,,,
12/1/02,53.3628,2-Dec-02,"8,902.95","9,043.37","8,242.91","8,341.63","228,456,600","8,341.63",6,,,
1/1/03,60.461,2-Jan-03,"8,342.38","8,869.29","7,917.16","8,053.81","273,048,500","8,053.81",5.8,,,
2/1/03,58.688,3-Feb-03,"8,053.74","8,152.53","7,628.99","7,891.08","245,441,000","7,891.08",5.9,,,
3/1/03,60.636,3-Mar-03,"7,890.24","8,522.18","7,416.64","7,992.13","281,788,500","7,992.13",5.9,,,
4/1/03,62.132,1-Apr-03,"7,992.83","8,559.77","7,979.69","8,480.09","256,261,900","8,480.09",6,,,
5/1/03,65.6375,1-May-03,"8,478.48","8,868.33","8,340.23","8,850.26","234,917,100","8,850.26",6.1,,,
6/1/03,65.921,2-Jun-03,"8,851.45","9,352.77","8,851.45","8,985.44","248,180,000","8,985.44",6.3,,,
7/1/03,65.732,1-Jul-03,"8,983.66","9,361.40","8,871.20","9,233.80","234,331,800","9,233.80",6.2,,,
8/1/03,65.9405,1-Aug-03,"9,232.68","9,499.97","8,997.11","9,415.82","190,657,600","9,415.82",6.1,,,
9/1/03,65.8624,2-Sep-03,"9,416.67","9,686.08","9,230.47","9,275.06","219,931,400","9,275.06",6.1,,,
10/1/03,58.394,1-Oct-03,"9,276.80","9,850.01","9,276.80","9,801.12","219,155,600","9,801.12",6,,,
11/1/03,59.7385,3-Nov-03,"9,802.46","9,903.57","9,585.50","9,782.46","190,930,500","9,782.46",5.8,,,
12/1/03,62.574,1-Dec-03,"9,785.35","10,462.44","9,785.35","10,453.92","199,306,800","10,453.92",5.7,,,
1/1/04,67.7935,2-Jan-04,"10,452.74","10,705.18","10,367.41","10,488.07","229,475,000","10,488.07",5.7,,,
2/1/04,68.6345,2-Feb-04,"10,487.78","10,753.63","10,434.67","10,583.92","215,510,000","10,583.92",5.6,,,
3/1/04,69.294,1-Mar-04,"10,582.25","10,695.55","10,007.49","10,357.70","226,828,600","10,357.70",5.8,,,
4/1/04,62.6775,1-Apr-04,"10,357.52","10,570.81","10,219.18","10,225.57","226,095,700","10,225.57",5.6,,,
5/1/04,52.6745,3-May-04,"10,227.27","10,386.32","9,852.19","10,188.45","208,818,000","10,188.45",5.6,,,
6/1/04,51.8548,1-Jun-04,"10,187.18","10,498.67","10,134.86","10,435.48","1,564,600","10,435.48",5.6,6/13/04,56,32
7/1/04,50.478,1-Jul-04,"10,434.00","10,448.09","9,913.92","10,139.71","221,400,900","10,139.71",5.5,,,
8/1/04,46.0468,2-Aug-04,"10,138.45","10,211.25","9,783.91","10,173.92","178,187,700","10,173.92",5.4,,,
9/1/04,44.548,1-Sep-04,"10,170.12","10,363.36","9,977.92","10,080.27","238,833,300","10,080.27",5.4,,,
10/1/04,47.593,1-Oct-04,"10,082.04","10,270.37","9,708.40","10,027.47","264,565,200","10,027.47",5.5,,,
11/1/04,56.5948,1-Nov-04,"10,028.73","10,602.85","10,010.15","10,428.02","283,500,000","10,428.02",5.4,,,
12/1/04,59.89,1-Dec-04,"10,425.80","10,868.07","10,418.63","10,783.01","267,539,500","10,783.01",5.4,,,
1/1/05,75.329,3-Jan-05,"10,783.75","10,867.39","10,368.61","10,489.94","286,149,500","10,489.94",5.3,,,
2/1/05,77.2595,1-Feb-05,"10,489.72","10,853.43","10,489.64","10,766.23","280,355,700","10,766.23",5.4,,,
3/1/05,77.5924,1-Mar-05,"10,769.04","10,984.46","10,396.24","10,503.76","276,336,800","10,503.76",5.2,,,
